"Domain Zone","# of domains","In Public Suffix","Whois","% of TLD"
"georgia.su","3","No","Yes","<1% of su"
"gliwice.pl","427","Yes","Yes","<1% of pl"
"glogow.pl","436","Yes","Yes","<1% of pl"
"gniezno.pl","596","Yes","Yes","<1% of pl"
"go.jp","675","Yes","Yes","<1% of jp"
"go.ke","272","No","Yes","3% of ke"
"go.kr","2006","Yes","Yes","1% of kr"
"gob.ar","1502","Yes","No","<1% of ar"
"gob.cl","345","Yes","Yes","<1% of cl"
"gob.es","221","Yes","Yes","<1% of es"
"gob.hn","88","Yes","Yes","6% of hn"
"gob.mx","4031","Yes","Yes","1% of mx"
"gouv.fr","562","Yes","Yes","<1% of fr"
"gov.ac","4","Yes","Yes","<1% of ac"
"gov.ar","2145","Yes","No","<1% of ar"
"gov.au","1155","Yes","Yes","<1% of au"
"gov.br","1163","Yes","Yes","<1% of br"
"gov.bs","26","Yes","No","11% of bs"
"gov.ck","34","No","No","15% of ck"
"gov.cl","300","Yes","Yes","<1% of cl"
"gov.cn","48306","Yes","No","1% of cn"
"gov.co","3980","Yes","Yes","<1% of co"
"gov.cx","1","Yes","Yes","<1% of cx"
"gov.et","158","Yes","No","34% of et"
"gov.fj","57","No","No","8% of fj"
"gov.gn","33","Yes","No","34% of gn"
"gov.gr","450","Yes","Yes","<1% of gr"
"gov.ie","209","Yes","Yes","<1% of ie"
"gov.il","254","Yes","No","<1% of il"
"gov.in","3842","Yes","Yes","<1% of in"
"gov.ir","239","Yes","No","<1% of ir"
"gov.kp","1","Yes","No","5% of kp"
"gov.lr","50","Yes","No","42% of lr"
"gov.lt","16","Yes","Yes","<1% of lt"
"gov.me","110","Yes","No","<1% of me"
"gov.mm","107","No","No","23% of mm"
"gov.my","1035","Yes","No","1% of my"
"gov.nr","7","Yes","No","17% of nr"
"gov.pg","165","No","No","11% of pg"
"gov.pl","521","Yes","Yes","<1% of pl"
"gov.pn","1","Yes","No","1% of pn"
"gov.pt","224","Yes","Yes","<1% of pt"
"gov.sg","382","Yes","Yes","<1% of sg"
"gov.st","17","Yes","Yes","<1% of st"
"gov.tj","1","Yes","No","<1% of tj"
"gov.tr","6594","Yes","Yes","3% of tr"
"gov.tw","1399","Yes","Yes","1% of tw"
"gov.ua","1497","Yes","Yes","<1% of ua"
"gov.uk","3187","Yes","Yes","<1% of uk"
"gov.vn","2955","Yes","No","2% of vn"
"gov.ws","53","Yes","Yes","<1% of ws"
"govt.nz","939","Yes","Yes","<1% of nz"
"gr.jp","5850","Yes","Yes","1% of jp"
"grozny.ru","12","Yes","Yes","<1% of ru"
"grozny.su","3","Yes","Yes","<1% of su"
"gs.cn","569","Yes","No","<1% of cn"
"gv.at","1551","Yes","Yes","<1% of at"
"gx.cn","513","Yes","No","<1% of cn"
"gz.cn","831","Yes","No","<1% of cn"
"h.se","9","Yes","Yes","<1% of se"
"ha.cn","645","Yes","No","<1% of cn"
"hb.cn","543","Yes","No","<1% of cn"
"he.cn","478","Yes","No","<1% of cn"
"health.nz","70","Yes","Yes","<1% of nz"
"hi.cn","520","Yes","No","<1% of cn"
"hi.us","8","Yes","Yes","<1% of us"
"hiroshima.jp","55","Yes","Yes","<1% of jp"
"hk.cn","658","Yes","No","<1% of cn"
"hl.cn","496","Yes","No","<1% of cn"
"hn.cn","603","Yes","No","<1% of cn"
"ho.ua","289","No","Yes","<1% of ua"
"hokkaido.jp","173","Yes","Yes","<1% of jp"
"hs.kr","2199","Yes","Yes","1% of kr"
"i.se","7","Yes","Yes","<1% of se"
"i.ua","126","No","Yes","<1% of ua"
"ia.us","142","Yes","Yes","<1% of us"
"id.au","10092","Yes","Yes","<1% of au"
"id.ir","62","Yes","Yes","<1% of ir"
"id.us","33","Yes","Yes","<1% of us"
"idf.il","20","Yes","No","<1% of il"
"idv.tw","6671","Yes","Yes","4% of tw"
"if.ua","1819","Yes","Yes","<1% of ua"
"iki.fi","372","Yes","Yes","<1% of fi"
"il.us","301","Yes","Yes","<1% of us"
"imb.br","830","Yes","Yes","<1% of br"
